method,keyframe_interval,history_compression,tasks,success_rate,avg_steps,avg_input_tokens,avg_output_tokens,avg_model_calls,avg_latency_ms,avg_end_to_end_ms,avg_cost_usd,compression_ratio,agent_error_rate,recovery_rate
hybrid,4,action_only,40,0.9,3.95,2868.925,154.425,3.575,253.26235880888584,990.4632156621334,0.005130406250000002,1.9449691142574252,0.04430379746835443,0.42857142857142855
hybrid,4,none,40,0.9,3.95,2984.875,154.425,3.575,255.6037192255525,1000.3189656621335,0.005275343750000002,1.8504691800179731,0.0379746835443038,0.3333333333333333
hybrid,4,state_summary,40,0.9,3.95,2891.525,154.425,3.575,253.76304422555253,992.3842156621337,0.005158656250000001,1.928835321762758,0.0379746835443038,0.3333333333333333
hybrid,4,summary,40,0.9,3.95,2898.275,154.425,3.575,253.8632025588858,992.9579656621332,0.005167093750000002,1.9182208561022935,0.0379746835443038,0.3333333333333333
