method,keyframe_interval,history_compression,tasks,success_rate,avg_steps,avg_input_tokens,avg_output_tokens,avg_model_calls,avg_latency_ms,avg_end_to_end_ms,avg_cost_usd,compression_ratio,agent_error_rate,recovery_rate
hybrid,1,state_summary,40,0.9,3.95,1878.325,154.425,3.575,232.1298358922192,906.2622156621334,0.003892156250000002,2.821988833997719,0.0379746835443038,0.3333333333333333
hybrid,2,state_summary,40,0.9,3.95,2250.1,154.425,3.575,240.05126922555252,937.8630906621332,0.004356875000000001,2.4126221529148064,0.0379746835443038,0.3333333333333333
hybrid,4,state_summary,40,0.9,3.95,2895.1,154.425,3.575,253.84096089221921,992.6880906621334,0.005163125,1.9319736468248112,0.0379746835443038,0.3333333333333333
hybrid,8,state_summary,40,0.9,3.95,3196.825,154.425,3.575,258.97028589221924,1018.3347156621336,0.005540281250000001,1.6899962576248704,0.0379746835443038,0.3333333333333333
hybrid,16,state_summary,40,0.9,3.95,3196.825,154.425,3.575,258.97028589221924,1018.3347156621336,0.005540281250000001,1.6899962576248704,0.0379746835443038,0.3333333333333333
