method,keyframe_interval,history_compression,tasks,success_rate,avg_steps,avg_input_tokens,avg_output_tokens,avg_model_calls,avg_latency_ms,avg_end_to_end_ms,avg_cost_usd,compression_ratio,agent_error_rate,recovery_rate
full_context,1,state_summary,40,1.0,4.125,6176.55,178.175,4.125,332.022410356691,1381.682490023518,0.0095024375,1.0,0.012121212121212121,1.0
hybrid,4,state_summary,40,0.9,3.95,2898.675,154.425,3.575,253.91887755888584,992.9919656621335,0.00516759375,1.9351030743323203,0.0379746835443038,0.3333333333333333
pixel_delta,4,state_summary,40,0.75,3.775,2432.175,147.875,3.425,247.25714595742178,923.825057383298,0.004518968749999998,2.101831425322619,0.17880794701986755,0.6296296296296297
semantic_delta,4,state_summary,40,0.875,3.925,2721.175,153.375,3.55,250.25683952783356,973.7755786867252,0.004935218749999999,2.0048107452175183,0.10191082802547771,0.6875
